DVD_Title,Studio,Released,Status,Sound,Versions,Price,Rating,Year,Genre,Aspect,UPC,DVD_ReleaseDate,ID,Timestamp,Updated
Static Shock: The Complete 1st Season (On Demand DVD-R),Warner Brothers Digital Dist.,,Out,2.0,4:3,$24.99,NR,2000,Animation,1.33:1,888574472979,3/28/17,299265,5/9/17,1
Static Shock: The Complete 2nd Season (On Demand DVD-R),Warner Brothers Digital Dist.,5/23/17,Pending,2.0,4:3,$24.99,NR,2002,Animation,1.33:1,888574488178,5/23/17,300117,5/9/17,0
Stealing Charlie Chaplin,Virgil Films and Entertainment,6/20/17,Pending,2.0,4:3,$19.99,NR,2016,Documentary,1.33:1,829567126028,6/20/17,300093,5/9/17,0
Streets Of San Francisco: The Complete Series,Paramount,,Out,2.0,4:3,$86.99,NR,VAR,TV Classics,1.33:1,032429269140,5/9/17,299422,5/9/17,1
Stuart Davis: In Full Swing,Kino Lorber,,Out,2.0,"LBX, 16:9",$14.99,NR,2017,Documentary,1.78:1,738329215521,5/9/17,299570,5/9/17,1
T.J. Hooker (Shout! Factory): The Complete Series,Shout! Factory,7/18/17,Pending,2.0,4:3,$79.97,NR,VAR,TV Classics,1.33:1,826663177794,7/18/17,299999,5/9/17,0
Taking Earth,Screen Media Films,7/3/17,Pending,2.0,"LBX, 16:9",$24.95,NR,2017,SciFi,2.35:1,814838014722,7/3/17,300112,5/9/17,0
Taught In Cold Blood,IMD Films,6/27/17,Pending,2.0,4:3,$14.95,NR,2017,Suspense/Thriller,1.33:1,858199009225,6/27/17,300018,5/9/17,0
Tesla: Born In Light,Reality Entertainment,,Out,2.0,4:3,$19.95,NR,2017,Documentary,1.33:1,191091363928,5/9/17,299451,5/9/17,1
That's Outrageous,Vinegar Syndrome,5/30/17,Pending,2.0,4:3,$24.98,UR,1983,Late Night,1.33:1,814456020884,5/30/17,300082,5/9/17,0
Things To Come (2016),Sundance Selects,,Out,SUB,"LBX, 16:9",$24.98,PG-13,2016,Foreign,1.85:1,030306948492,5/9/17,299321,5/9/17,1
Things To Come (2016/ Blu-ray),Sundance Selects,,Out,SUB,"LBX, 16:9, BLU-RAY",$29.98,PG-13,2016,Foreign,1.85:1,030306199290,5/9/17,299772,5/9/17,1
Three Sisters (2012),Icarus Films,6/13/17,Pending,SUB,"LBX, 16:9",$29.98,NR,2012,Foreign,1.85:1,854565002067,6/13/17,300106,5/9/17,0
Through The Looking Glass,IMD Films,6/13/17,Pending,2.0,"LBX, 16:9",$12.95,NR,2006,Horror,1.85:1,858199009423,6/13/17,300108,5/9/17,0
Tom And Jerry: Food Fight,Warner Brothers,8/29/17,Pending,2.0,4:3,$9.97,NR,VAR,Animation,1.33:1,883929586127,8/29/17,300080,5/9/17,0
Tom And Jerry: Willy Wonka & The Chocolate Factory,Warner Brothers,7/11/17,Pending,2.0,"LBX, 16:9",$19.98,NR,2017,Animation,1.78:1,883929561858,7/11/17,300039,5/9/17,0
"Turtle Hill, Brooklyn",IMD Films,6/13/17,Pending,2.0,4:3,$12.95,NR,2013,Comedy,1.33:1,858199009621,6/13/17,300002,5/9/17,0
Two Women (2014),BBC Home Video,6/13/17,Pending,SUB,"LBX, 16:9",$19.98,NR,2014,Foreign,1.85:1,883929520121,6/13/17,300000,5/9/17,0
Under The Turban,Cinema Libre,6/20/17,Pending,2.0,"LBX, 16:9",$19.95,NR,2016,Documentary,1.78:1,881394125520,6/20/17,300089,5/9/17,0
VHS Massacre: Cult Films And The Decline Of Physical Media (Blu-ray),Troma,,Out,2.0,"LBX, 16:9, BLU-RAY",$24.98,NR,2016,Documentary,1.78:1,790357090709,5/9/17,299963,5/9/17,1
Vietnam War: A Film By Ken Burns & Lynn Novick,PBS,9/19/17,Pending,2.0,"LBX, 16:9",$99.99,NR,2017,Documentary,1.78:1,841887033398,9/19/17,300096,5/9/17,0
Vietnam War: A Film By Ken Burns & Lynn Novick (Blu-ray),PBS,9/19/17,Pending,2.0,"LBX, 16:9, BLU-RAY",$129.99,NR,2017,Documentary,1.78:1,841887033404,9/19/17,300061,5/9/17,0
Vincent-N-Roxxy,Lions Gate,7/3/17,Pending,5.1,"LBX, 16:9",$18.98,R,2016,Suspense/Thriller,1.85:1,031398264781,7/3/17,300099,5/9/17,0
Void (2016),Screen Media Films,,Out,2.0,"LBX, 16:9",$24.95,NR,2016,Horror,1.85:1,814838014753,5/9/17,299353,5/9/17,1
Wayans Bros.: The Complete 2nd Season (On Demand DVD-R),Warner Brothers Digital Dist.,5/16/17,Pending,2.0,4:3,$29.99,NR,1995,TV Classics,1.33:1,888574462185,5/16/17,299990,5/9/17,0
Weekend In Havana (1941),Fox,,Discontinued,2.0,4:3,$14.98,NR,1941,Musical,1.33:1,024543225591,2/21/06,75705,5/9/17,1
Weekend In Havana (2017),PBS,7/25/17,Pending,2.0,"LBX, 16:9",$24.99,NR,2017,Documentary,1.78:1,841887033671,7/25/17,300024,5/9/17,0
When Calls The Heart: Heart Of A Teacher,Shout! Factory,7/3/17,Pending,2.0,"LBX, 16:9",$14.93,NR,2017,Drama,1.78:1,826663177060,7/3/17,300012,5/9/17,0
Windmill (Blu-ray/ On Demand DVD-R),XLrator,5/16/17,Pending,2.0,"LBX, 16:9, BLU-RAY",$19.99,NR,2016,Horror,1.85:1,818522016795,5/16/17,300069,5/9/17,0
Windmill (On Demand DVD-R),XLrator,5/16/17,Pending,2.0,"LBX, 16:9",$14.99,NR,2016,Horror,1.85:1,818522016788,5/16/17,300094,5/9/17,0
"Woman, A Part",Strand,7/11/17,Pending,2.0,"LBX, 16:9",$24.99,NR,2016,Drama,1.85:1,712267370924,7/11/17,300011,5/9/17,0
Worst Movie Ever,IMD Films,6/13/17,Pending,2.0,4:3,$12.95,NR,2011,Comedy,1.33:1,858199009720,6/13/17,300059,5/9/17,0
WWE: Wrestlemania 33,WWE Home Video,,Out,5.1,"LBX, 16:9",$24.98,NR,2017,Special Interest,1.78:1,651191956111,5/9/17,299041,5/9/17,1
WWE: Wrestlemania 33 (Blu-ray),WWE Home Video,,Out,5.1,"LBX, 16:9, BLU-RAY",$29.98,NR,2017,Special Interest,1.78:1,651191956128,5/9/17,299014,5/9/17,1
WWII Collection: Brothers In Combat: 30 Documentaries,Echo Bridge,7/3/17,Pending,2.0,4:3,$19.99,NR,VAR,Documentary,1.33:1,096009468040,7/3/17,300007,5/9/17,0
XIII: The Series: Seasons 1 & 2,FUNimation,,Out,2.0,"LBX, 16:9",$69.98,NR,VAR,TV Classics,1.78:1,704400067471,5/9/17,299035,5/9/17,1
Zombies: The Aftermath: Rise of the 4th Reich / Zombie Factory / Zombie Holocaust,World Wide Multi Media,,Out,2.0,4:3,$17.95,NR,VAR,Horror,1.33:1,191091363546,5/9/17,299466,5/9/17,1
